name,sku,brand,category_type,subcategory,sub_subcategory,material,fabric_details,description,retail_price_inr,rent_price_inr,currency,is_rentable,is_buyable,collection,status,variant_size,variant_colour,variant_quantity,variant_location,image_urls
Veira- beige dress,RBL-002,Ranu Beniwal,Women,Dresses,,Cotton-Linen Blend,"Main Fabric: Cotton-Linen Blend. Lining: 100% Recycled Cotton. Hand wash cold with mild colour-safe detergent, wash inside out, do not bleach or tumble dry, dry flat in shade, iron inside out on low-medium heat. Professional dry clean recommended for embellished pieces.",,26500,2500,INR,TRUE,TRUE,,draft,S,Beige,1,Pune,
Solaya Top,RBL-006,Ranu Beniwal,Women,Tops,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,13900,1390,INR,TRUE,TRUE,,draft,XS,Yellow,1,Pune,
Solaya Top,RBL-006,,,,,,,,,,,,,,,S,Yellow,1,Pune,
Solaya Top,RBL-006,,,,,,,,,,,,,,,M,Yellow,1,Pune,
Solaya Jacket,RBL-008,Ranu Beniwal,Women,Jackets,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,4600,1000,INR,TRUE,TRUE,,draft,XS,Yellow,1,Pune,
Solaya Jacket,RBL-008,,,,,,,,,,,,,,,S,Yellow,1,Pune,
Nysa Trousers,RBL-011,Ranu Beniwal,Women,Pants,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,25400,2500,INR,TRUE,TRUE,,draft,S,Mist Green,1,Pune,
Nysa Trousers,RBL-011,,,,,,,,,,,,,,,M,Mist Green,1,Pune,
Nysa Top 1,RBL-012,Ranu Beniwal,Women,Tops,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,10900,1090,INR,TRUE,TRUE,,draft,S,Mist Green,1,Pune,
Nysa Top 1,RBL-012,,,,,,,,,,,,,,,M,Mist Green,1,Pune,
Nysa top 2,RBL-013,Ranu Beniwal,Women,Tops,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,10900,1090,INR,TRUE,TRUE,,draft,S,Mist Green,1,Pune,
Kaia 3 Piece Set,RBL-014,Ranu Beniwal,Women,Co-ord Sets,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.","Kaia captures the quiet elegance of transformation — the journey from innocence to grace, and from softness to strength. Crafted in handloom cotton slub with a recycled lining, this sophisticated jumpsuit features an intricate traditional print, beautifully complemented by delicate hand-embroidered lotus motifs. The fluid wide-leg silhouette creates an effortlessly graceful fall, while the sculpted neckline and ornate waist detail lend the ensemble a distinctly luxurious finish. The blooming lotus motifs represent the layers of womanhood unfolding over time — every lesson, dream, and experience shaping the woman within. Kaia is more than a statement of style; it is a celebration of becoming yourself, beautifully and unapologetically.",44400,4000,INR,TRUE,TRUE,,draft,M,Green,1,Pune,
Kaia Trousers,RBL-015,Ranu Beniwal,Women,Pants,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,22200,2220,INR,TRUE,TRUE,,draft,M,Green,1,Pune,
Kaia Top 1,RBL-016,Ranu Beniwal,Women,Tops,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,8900,1000,INR,TRUE,TRUE,,draft,M,Green,1,Pune,
Kaia Top 2,RBL-017,Ranu Beniwal,Women,Tops,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,8900,1000,INR,TRUE,TRUE,,draft,S,Green,1,Pune,
Kaia Corset Belt,RBL-018,Ranu Beniwal,Women,Tops,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,13300,1330,INR,TRUE,TRUE,,draft,M,Beige,1,Pune,
Adira top and skirt,RBL-020,Ranu Beniwal,Women,Co-ord Sets,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,22300,2230,INR,TRUE,TRUE,,draft,S,Brown,1,Pune,
Avira dress 2,RBL-023,Ranu Beniwal,Women,Dresses,,100% Cotton Slub,"Main Fabric: 100% Cotton Slub. Lining: 100% Recycled Cotton. Hand wash cold with mild detergent, do not bleach or tumble dry, dry flat in shade, iron inside out on medium heat. Professional dry clean recommended for embellished pieces.",,9900,1000,INR,TRUE,TRUE,,draft,S,Green,1,Pune,
